J-2 inkomen	J-1 inkomen	J0 inkomen	J+1 inkomen	J+2 inkomen	J+3 inkomen	IVT J0 (gunst)	IVT J+1 (gunst)	IVT J+2 (gunst)	IVT J+3 (N-2 std)	Double whammy (jaar)
€0	€0	20.763 - 27.060	< 6.307	9.461 - 20.763	9.461 - 20.763	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	20.763 - 27.060	< 6.307	9.461 - 20.763	20.763 - 27.060	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	20.763 - 27.060	< 6.307	9.461 - 20.763	> 27.060	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	20.763 - 27.060	< 6.307	20.763 - 27.060	< 6.307	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	< 6.307	20.763 - 27.060	6.307 - 9.461	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	< 6.307	20.763 - 27.060	9.461 - 20.763	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	< 6.307	20.763 - 27.060	20.763 - 27.060	1.402 (max)	1.402 (max)	1.402 (max)	0	
€0	€0	20.763 - 27.060	< 6.307	20.763 - 27.060	> 27.060	1.402 (max)	1.402 (max)	1.402 (max)	0	
€0	€0	20.763 - 27.060	< 6.307	> 27.060	< 6.307	1.402 (max)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	< 6.307	> 27.060	6.307 - 9.461	1.402 (max)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	< 6.307	> 27.060	9.461 - 20.763	1.402 (max)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	< 6.307	> 27.060	20.763 - 27.060	1.402 (max)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	< 6.307	> 27.060	> 27.060	1.402 (max)	1.402 (max)	0 (>27.060)	0	
€0	€0	20.763 - 27.060	6.307 - 9.461	< 6.307	< 6.307	1.402 (max)	1.402 (max)	1.402 (max)	1.139 -> 942	J+3
€0	€0	20.763 - 27.060	6.307 - 9.461	< 6.307	6.307 - 9.461	1.402 (max)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	20.763 - 27.060	6.307 - 9.461	< 6.307	9.461 - 20.763	1.402 (max)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	20.763 - 27.060	6.307 - 9.461	< 6.307	20.763 - 27.060	1.402 (max)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	20.763 - 27.060	6.307 - 9.461	< 6.307	> 27.060	1.402 (max)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	20.763 - 27.060	6.307 - 9.461	6.307 - 9.461	< 6.307	1.402 (max)	1.402 (max)	1.402 (max)	1.139 -> 942	J+3
€0	€0	20.763 - 27.060	6.307 - 9.461	6.307 - 9.461	6.307 - 9.461	1.402 (max)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	20.763 - 27.060	6.307 - 9.461	6.307 - 9.461	9.461 - 20.763	1.402 (max)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	20.763 - 27.060	6.307 - 9.461	6.307 - 9.461	20.763 - 27.060	1.402 (max)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	20.763 - 27.060	6.307 - 9.461	6.307 - 9.461	> 27.060	1.402 (max)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	20.763 - 27.060	6.307 - 9.461	9.461 - 20.763	< 6.307	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	J+3
€0	€0	20.763 - 27.060	6.307 - 9.461	9.461 - 20.763	6.307 - 9.461	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	J+3
€0	€0	20.763 - 27.060	6.307 - 9.461	9.461 - 20.763	9.461 - 20.763	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	20.763 - 27.060	6.307 - 9.461	9.461 - 20.763	20.763 - 27.060	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	20.763 - 27.060	6.307 - 9.461	9.461 - 20.763	> 27.060	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	20.763 - 27.060	6.307 - 9.461	20.763 - 27.060	< 6.307	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	6.307 - 9.461	20.763 - 27.060	6.307 - 9.461	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	6.307 - 9.461	20.763 - 27.060	9.461 - 20.763	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	6.307 - 9.461	20.763 - 27.060	20.763 - 27.060	1.402 (max)	1.402 (max)	1.402 (max)	0	
€0	€0	20.763 - 27.060	6.307 - 9.461	20.763 - 27.060	> 27.060	1.402 (max)	1.402 (max)	1.402 (max)	0	
€0	€0	20.763 - 27.060	6.307 - 9.461	> 27.060	< 6.307	1.402 (max)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	6.307 - 9.461	> 27.060	6.307 - 9.461	1.402 (max)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	6.307 - 9.461	> 27.060	9.461 - 20.763	1.402 (max)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	6.307 - 9.461	> 27.060	20.763 - 27.060	1.402 (max)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	6.307 - 9.461	> 27.060	> 27.060	1.402 (max)	1.402 (max)	0 (>27.060)	0	
€0	€0	20.763 - 27.060	9.461 - 20.763	< 6.307	< 6.307	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	J+3
€0	€0	20.763 - 27.060	9.461 - 20.763	< 6.307	6.307 - 9.461	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	J+3
€0	€0	20.763 - 27.060	9.461 - 20.763	< 6.307	9.461 - 20.763	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	20.763 - 27.060	9.461 - 20.763	< 6.307	20.763 - 27.060	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	20.763 - 27.060	9.461 - 20.763	< 6.307	> 27.060	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	20.763 - 27.060	9.461 - 20.763	6.307 - 9.461	< 6.307	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	J+3
€0	€0	20.763 - 27.060	9.461 - 20.763	6.307 - 9.461	6.307 - 9.461	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	J+3
€0	€0	20.763 - 27.060	9.461 - 20.763	6.307 - 9.461	9.461 - 20.763	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	20.763 - 27.060	9.461 - 20.763	6.307 - 9.461	20.763 - 27.060	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	20.763 - 27.060	9.461 - 20.763	6.307 - 9.461	> 27.060	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	20.763 - 27.060	9.461 - 20.763	9.461 - 20.763	< 6.307	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	J+3
€0	€0	20.763 - 27.060	9.461 - 20.763	9.461 - 20.763	6.307 - 9.461	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	J+3
€0	€0	20.763 - 27.060	9.461 - 20.763	9.461 - 20.763	9.461 - 20.763	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	20.763 - 27.060	9.461 - 20.763	9.461 - 20.763	20.763 - 27.060	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	20.763 - 27.060	9.461 - 20.763	9.461 - 20.763	> 27.060	1.402 (max)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	20.763 - 27.060	9.461 - 20.763	20.763 - 27.060	< 6.307	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	9.461 - 20.763	20.763 - 27.060	6.307 - 9.461	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	9.461 - 20.763	20.763 - 27.060	9.461 - 20.763	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	9.461 - 20.763	20.763 - 27.060	20.763 - 27.060	1.402 (max)	1.402 (max)	1.402 (max)	0	
€0	€0	20.763 - 27.060	9.461 - 20.763	20.763 - 27.060	> 27.060	1.402 (max)	1.402 (max)	1.402 (max)	0	
€0	€0	20.763 - 27.060	9.461 - 20.763	> 27.060	< 6.307	1.402 (max)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	9.461 - 20.763	> 27.060	6.307 - 9.461	1.402 (max)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	9.461 - 20.763	> 27.060	9.461 - 20.763	1.402 (max)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	9.461 - 20.763	> 27.060	20.763 - 27.060	1.402 (max)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	9.461 - 20.763	> 27.060	> 27.060	1.402 (max)	1.402 (max)	0 (>27.060)	0	
€0	€0	20.763 - 27.060	20.763 - 27.060	< 6.307	< 6.307	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	20.763 - 27.060	< 6.307	6.307 - 9.461	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	20.763 - 27.060	< 6.307	9.461 - 20.763	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	20.763 - 27.060	< 6.307	20.763 - 27.060	1.402 (max)	1.402 (max)	1.402 (max)	0	
€0	€0	20.763 - 27.060	20.763 - 27.060	< 6.307	> 27.060	1.402 (max)	1.402 (max)	1.402 (max)	0	
€0	€0	20.763 - 27.060	20.763 - 27.060	6.307 - 9.461	< 6.307	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	20.763 - 27.060	6.307 - 9.461	6.307 - 9.461	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	20.763 - 27.060	6.307 - 9.461	9.461 - 20.763	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	20.763 - 27.060	6.307 - 9.461	20.763 - 27.060	1.402 (max)	1.402 (max)	1.402 (max)	0	
€0	€0	20.763 - 27.060	20.763 - 27.060	6.307 - 9.461	> 27.060	1.402 (max)	1.402 (max)	1.402 (max)	0	
€0	€0	20.763 - 27.060	20.763 - 27.060	9.461 - 20.763	< 6.307	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	20.763 - 27.060	9.461 - 20.763	6.307 - 9.461	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	20.763 - 27.060	9.461 - 20.763	9.461 - 20.763	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	20.763 - 27.060	9.461 - 20.763	20.763 - 27.060	1.402 (max)	1.402 (max)	1.402 (max)	0	
€0	€0	20.763 - 27.060	20.763 - 27.060	9.461 - 20.763	> 27.060	1.402 (max)	1.402 (max)	1.402 (max)	0	
€0	€0	20.763 - 27.060	20.763 - 27.060	20.763 - 27.060	< 6.307	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	20.763 - 27.060	20.763 - 27.060	6.307 - 9.461	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	20.763 - 27.060	20.763 - 27.060	9.461 - 20.763	1.402 (max)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	20.763 - 27.060	20.763 - 27.060	20.763 - 27.060	1.402 (max)	1.402 (max)	1.402 (max)	0	
€0	€0	20.763 - 27.060	20.763 - 27.060	20.763 - 27.060	> 27.060	1.402 (max)	1.402 (max)	1.402 (max)	0	
€0	€0	20.763 - 27.060	20.763 - 27.060	> 27.060	< 6.307	1.402 (max)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	20.763 - 27.060	> 27.060	6.307 - 9.461	1.402 (max)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	20.763 - 27.060	> 27.060	9.461 - 20.763	1.402 (max)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	20.763 - 27.060	> 27.060	20.763 - 27.060	1.402 (max)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	20.763 - 27.060	> 27.060	> 27.060	1.402 (max)	1.402 (max)	0 (>27.060)	0	
€0	€0	20.763 - 27.060	> 27.060	< 6.307	< 6.307	1.402 (max)	0 (>27.060)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	< 6.307	6.307 - 9.461	1.402 (max)	0 (>27.060)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	< 6.307	9.461 - 20.763	1.402 (max)	0 (>27.060)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	< 6.307	20.763 - 27.060	1.402 (max)	0 (>27.060)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	< 6.307	> 27.060	1.402 (max)	0 (>27.060)	1.402 (max)	0	
€0	€0	20.763 - 27.060	> 27.060	6.307 - 9.461	< 6.307	1.402 (max)	0 (>27.060)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	6.307 - 9.461	6.307 - 9.461	1.402 (max)	0 (>27.060)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	6.307 - 9.461	9.461 - 20.763	1.402 (max)	0 (>27.060)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	6.307 - 9.461	20.763 - 27.060	1.402 (max)	0 (>27.060)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	6.307 - 9.461	> 27.060	1.402 (max)	0 (>27.060)	1.402 (max)	0	
€0	€0	20.763 - 27.060	> 27.060	9.461 - 20.763	< 6.307	1.402 (max)	0 (>27.060)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	9.461 - 20.763	6.307 - 9.461	1.402 (max)	0 (>27.060)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	9.461 - 20.763	9.461 - 20.763	1.402 (max)	0 (>27.060)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	9.461 - 20.763	20.763 - 27.060	1.402 (max)	0 (>27.060)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	9.461 - 20.763	> 27.060	1.402 (max)	0 (>27.060)	1.402 (max)	0	
€0	€0	20.763 - 27.060	> 27.060	20.763 - 27.060	< 6.307	1.402 (max)	0 (>27.060)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	20.763 - 27.060	6.307 - 9.461	1.402 (max)	0 (>27.060)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	20.763 - 27.060	9.461 - 20.763	1.402 (max)	0 (>27.060)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	20.763 - 27.060	20.763 - 27.060	1.402 (max)	0 (>27.060)	1.402 (max)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	20.763 - 27.060	> 27.060	1.402 (max)	0 (>27.060)	1.402 (max)	0	
€0	€0	20.763 - 27.060	> 27.060	> 27.060	< 6.307	1.402 (max)	0 (>27.060)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	> 27.060	6.307 - 9.461	1.402 (max)	0 (>27.060)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	> 27.060	9.461 - 20.763	1.402 (max)	0 (>27.060)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	> 27.060	20.763 - 27.060	1.402 (max)	0 (>27.060)	0 (>27.060)	0	J+3
€0	€0	20.763 - 27.060	> 27.060	> 27.060	> 27.060	1.402 (max)	0 (>27.060)	0 (>27.060)	0	
€0	€0	> 27.060	< 6.307	< 6.307	< 6.307	0 (>27.060)	1.402 (max)	1.402 (max)	1.402 -> 1.139	
€0	€0	> 27.060	< 6.307	< 6.307	6.307 - 9.461	0 (>27.060)	1.402 (max)	1.402 (max)	1.402 -> 1.139	
€0	€0	> 27.060	< 6.307	< 6.307	9.461 - 20.763	0 (>27.060)	1.402 (max)	1.402 (max)	1.402 -> 1.139	
€0	€0	> 27.060	< 6.307	< 6.307	20.763 - 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	1.402 -> 1.139	
€0	€0	> 27.060	< 6.307	< 6.307	> 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	1.402 -> 1.139	
€0	€0	> 27.060	< 6.307	6.307 - 9.461	< 6.307	0 (>27.060)	1.402 (max)	1.402 (max)	1.139 -> 942	J+3
€0	€0	> 27.060	< 6.307	6.307 - 9.461	6.307 - 9.461	0 (>27.060)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	> 27.060	< 6.307	6.307 - 9.461	9.461 - 20.763	0 (>27.060)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	> 27.060	< 6.307	6.307 - 9.461	20.763 - 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	> 27.060	< 6.307	6.307 - 9.461	> 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	> 27.060	< 6.307	9.461 - 20.763	< 6.307	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	J+3
€0	€0	> 27.060	< 6.307	9.461 - 20.763	6.307 - 9.461	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	J+3
€0	€0	> 27.060	< 6.307	9.461 - 20.763	9.461 - 20.763	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	> 27.060	< 6.307	9.461 - 20.763	20.763 - 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	> 27.060	< 6.307	9.461 - 20.763	> 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	> 27.060	< 6.307	20.763 - 27.060	< 6.307	0 (>27.060)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	> 27.060	< 6.307	20.763 - 27.060	6.307 - 9.461	0 (>27.060)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	> 27.060	< 6.307	20.763 - 27.060	9.461 - 20.763	0 (>27.060)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	> 27.060	< 6.307	20.763 - 27.060	20.763 - 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	0	
€0	€0	> 27.060	< 6.307	20.763 - 27.060	> 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	0	
€0	€0	> 27.060	< 6.307	> 27.060	< 6.307	0 (>27.060)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	> 27.060	< 6.307	> 27.060	6.307 - 9.461	0 (>27.060)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	> 27.060	< 6.307	> 27.060	9.461 - 20.763	0 (>27.060)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	> 27.060	< 6.307	> 27.060	20.763 - 27.060	0 (>27.060)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	> 27.060	< 6.307	> 27.060	> 27.060	0 (>27.060)	1.402 (max)	0 (>27.060)	0	
€0	€0	> 27.060	6.307 - 9.461	< 6.307	< 6.307	0 (>27.060)	1.402 (max)	1.402 (max)	1.139 -> 942	J+3
€0	€0	> 27.060	6.307 - 9.461	< 6.307	6.307 - 9.461	0 (>27.060)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	> 27.060	6.307 - 9.461	< 6.307	9.461 - 20.763	0 (>27.060)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	> 27.060	6.307 - 9.461	< 6.307	20.763 - 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	> 27.060	6.307 - 9.461	< 6.307	> 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	> 27.060	6.307 - 9.461	6.307 - 9.461	< 6.307	0 (>27.060)	1.402 (max)	1.402 (max)	1.139 -> 942	J+3
€0	€0	> 27.060	6.307 - 9.461	6.307 - 9.461	6.307 - 9.461	0 (>27.060)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	> 27.060	6.307 - 9.461	6.307 - 9.461	9.461 - 20.763	0 (>27.060)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	> 27.060	6.307 - 9.461	6.307 - 9.461	20.763 - 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	> 27.060	6.307 - 9.461	6.307 - 9.461	> 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	1.139 -> 942	
€0	€0	> 27.060	6.307 - 9.461	9.461 - 20.763	< 6.307	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	J+3
€0	€0	> 27.060	6.307 - 9.461	9.461 - 20.763	6.307 - 9.461	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	J+3
€0	€0	> 27.060	6.307 - 9.461	9.461 - 20.763	9.461 - 20.763	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	> 27.060	6.307 - 9.461	9.461 - 20.763	20.763 - 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	> 27.060	6.307 - 9.461	9.461 - 20.763	> 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	> 27.060	6.307 - 9.461	20.763 - 27.060	< 6.307	0 (>27.060)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	> 27.060	6.307 - 9.461	20.763 - 27.060	6.307 - 9.461	0 (>27.060)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	> 27.060	6.307 - 9.461	20.763 - 27.060	9.461 - 20.763	0 (>27.060)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	> 27.060	6.307 - 9.461	20.763 - 27.060	20.763 - 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	0	
€0	€0	> 27.060	6.307 - 9.461	20.763 - 27.060	> 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	0	
€0	€0	> 27.060	6.307 - 9.461	> 27.060	< 6.307	0 (>27.060)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	> 27.060	6.307 - 9.461	> 27.060	6.307 - 9.461	0 (>27.060)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	> 27.060	6.307 - 9.461	> 27.060	9.461 - 20.763	0 (>27.060)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	> 27.060	6.307 - 9.461	> 27.060	20.763 - 27.060	0 (>27.060)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	> 27.060	6.307 - 9.461	> 27.060	> 27.060	0 (>27.060)	1.402 (max)	0 (>27.060)	0	
€0	€0	> 27.060	9.461 - 20.763	< 6.307	< 6.307	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	J+3
€0	€0	> 27.060	9.461 - 20.763	< 6.307	6.307 - 9.461	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	J+3
€0	€0	> 27.060	9.461 - 20.763	< 6.307	9.461 - 20.763	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	> 27.060	9.461 - 20.763	< 6.307	20.763 - 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	> 27.060	9.461 - 20.763	< 6.307	> 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	> 27.060	9.461 - 20.763	6.307 - 9.461	< 6.307	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	J+3
€0	€0	> 27.060	9.461 - 20.763	6.307 - 9.461	6.307 - 9.461	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	J+3
€0	€0	> 27.060	9.461 - 20.763	6.307 - 9.461	9.461 - 20.763	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	> 27.060	9.461 - 20.763	6.307 - 9.461	20.763 - 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	> 27.060	9.461 - 20.763	6.307 - 9.461	> 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	> 27.060	9.461 - 20.763	9.461 - 20.763	< 6.307	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	J+3
€0	€0	> 27.060	9.461 - 20.763	9.461 - 20.763	6.307 - 9.461	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	J+3
€0	€0	> 27.060	9.461 - 20.763	9.461 - 20.763	9.461 - 20.763	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	> 27.060	9.461 - 20.763	9.461 - 20.763	20.763 - 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	> 27.060	9.461 - 20.763	9.461 - 20.763	> 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	942 -> 0	
€0	€0	> 27.060	9.461 - 20.763	20.763 - 27.060	< 6.307	0 (>27.060)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	> 27.060	9.461 - 20.763	20.763 - 27.060	6.307 - 9.461	0 (>27.060)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	> 27.060	9.461 - 20.763	20.763 - 27.060	9.461 - 20.763	0 (>27.060)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	> 27.060	9.461 - 20.763	20.763 - 27.060	20.763 - 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	0	
€0	€0	> 27.060	9.461 - 20.763	20.763 - 27.060	> 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	0	
€0	€0	> 27.060	9.461 - 20.763	> 27.060	< 6.307	0 (>27.060)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	> 27.060	9.461 - 20.763	> 27.060	6.307 - 9.461	0 (>27.060)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	> 27.060	9.461 - 20.763	> 27.060	9.461 - 20.763	0 (>27.060)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	> 27.060	9.461 - 20.763	> 27.060	20.763 - 27.060	0 (>27.060)	1.402 (max)	0 (>27.060)	0	J+3
€0	€0	> 27.060	9.461 - 20.763	> 27.060	> 27.060	0 (>27.060)	1.402 (max)	0 (>27.060)	0	
€0	€0	> 27.060	20.763 - 27.060	< 6.307	< 6.307	0 (>27.060)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	> 27.060	20.763 - 27.060	< 6.307	6.307 - 9.461	0 (>27.060)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	> 27.060	20.763 - 27.060	< 6.307	9.461 - 20.763	0 (>27.060)	1.402 (max)	1.402 (max)	0	J+3
€0	€0	> 27.060	20.763 - 27.060	< 6.307	20.763 - 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	0	
€0	€0	> 27.060	20.763 - 27.060	< 6.307	> 27.060	0 (>27.060)	1.402 (max)	1.402 (max)	0	
€0	€0	> 27.060	20.763 - 27.060	6.307 - 9.461	< 6.307	0 (>27.060)	1.402 (max)	1.402 (max)	0	J+3
